,R,X,V,F
0,+1.06631E-01,-1.70494E-02,+5.73257E+00,1.00000E+00
1,+9.95688E-02,-1.44984E-02,+5.73934E+00,2.00000E+00
2,+9.31725E-02,-1.00167E-02,+5.74166E+00,3.00000E+00
3,+9.14537E-02,-1.40179E-02,+5.74309E+00,5.00000E+00
4,+8.54037E-02,-8.41657E-03,+5.74394E+00,8.00000E+00
5,+8.57358E-02,-1.26244E-02,+5.74458E+00,1.00000E+01
6,+8.49417E-02,-1.43421E-02,+5.74509E+00,1.10000E+01
7,+7.89872E-02,-7.61737E-03,+5.74559E+00,2.10000E+01
8,+7.79521E-02,-8.86821E-03,+5.74590E+00,3.10000E+01
9,+6.99750E-02,-1.16320E-02,+5.74621E+00,6.10000E+01
10,+7.36309E-02,-4.72395E-03,+5.74653E+00,8.10000E+01
11,+7.06160E-02,-1.56731E-02,+5.74679E+00,1.00000E+02
12,+6.94140E-02,-1.58741E-02,+5.74700E+00,1.10000E+02
13,+6.56030E-02,-1.16555E-02,+5.74728E+00,2.10000E+02
14,+6.28004E-02,-1.38178E-02,+5.74748E+00,3.10000E+02
15,+6.03476E-02,-7.21985E-03,+5.74775E+00,5.10000E+02
16,+5.70036E-02,-6.85612E-03,+5.74794E+00,8.10000E+02
17,+5.83338E-02,-5.05662E-03,+5.74817E+00,1.00000E+03
18,+9.73930E-02,-1.54914E-02,+5.79385E+00,1.00000E+00
19,+9.18004E-02,-1.41619E-02,+5.79408E+00,2.00000E+00
20,+8.72641E-02,-1.16062E-02,+5.79421E+00,3.00000E+00
21,+8.44342E-02,-1.22416E-02,+5.79430E+00,5.00000E+00
22,+8.06178E-02,-9.99752E-03,+5.79438E+00,8.00000E+00
23,+7.94574E-02,-1.13107E-02,+5.79441E+00,1.00000E+01
24,+7.89664E-02,-1.27311E-02,+5.79447E+00,1.10000E+01
25,+7.36195E-02,-5.55234E-03,+5.79452E+00,2.10000E+01
26,+7.30505E-02,-6.17150E-03,+5.79455E+00,3.10000E+01
27,+6.62216E-02,-9.38119E-03,+5.79460E+00,6.10000E+01
28,+6.55247E-02,-4.30480E-03,+5.79458E+00,8.10000E+01
29,+6.91227E-02,-1.19293E-02,+5.79465E+00,1.00000E+02
30,+7.01003E-02,-1.11100E-02,+5.79465E+00,1.10000E+02
31,+6.32483E-02,-4.68188E-03,+5.79470E+00,2.10000E+02
32,+5.70302E-02,-3.42809E-03,+5.79471E+00,3.10000E+02
33,+5.71400E-02,-7.47892E-03,+5.79472E+00,5.10000E+02
34,+5.35983E-02,-7.06597E-03,+5.79476E+00,8.10000E+02
35,+5.19098E-02,-5.03473E-03,+5.79478E+00,1.00000E+03
