,R,X,V,F
0,+1.32067E-01,-2.01436E-02,+5.69568E+00,1.00000E+00
1,+1.23693E-01,-1.89838E-02,+5.69908E+00,2.00000E+00
2,+1.19522E-01,-1.97201E-02,+5.70052E+00,3.00000E+00
3,+1.12833E-01,-1.74946E-02,+5.70147E+00,5.00000E+00
4,+1.07782E-01,-1.70795E-02,+5.70205E+00,8.00000E+00
5,+1.05302E-01,-1.60968E-02,+5.70249E+00,1.00000E+01
6,+1.04416E-01,-1.48086E-02,+5.70288E+00,1.10000E+01
7,+9.75921E-02,-1.40735E-02,+5.70325E+00,2.10000E+01
8,+9.26702E-02,-1.54417E-02,+5.70350E+00,3.10000E+01
9,+8.77387E-02,-1.41222E-02,+5.70372E+00,6.10000E+01
10,+8.45524E-02,-1.79124E-02,+5.70394E+00,8.10000E+01
11,+7.98788E-02,-8.13117E-03,+5.70411E+00,1.00000E+02
12,+8.23383E-02,-8.99396E-03,+5.70433E+00,1.10000E+02
13,+8.08674E-02,-8.53263E-03,+5.70449E+00,2.10000E+02
14,+7.54246E-02,-1.41563E-02,+5.70471E+00,3.10000E+02
15,+7.16219E-02,-8.39903E-03,+5.70486E+00,5.10000E+02
16,+6.98582E-02,-8.91674E-03,+5.70504E+00,8.10000E+02
17,+6.88619E-02,-8.68339E-03,+5.70519E+00,1.00000E+03
18,+1.20460E-01,-1.88898E-02,+5.74470E+00,1.00000E+00
19,+1.12734E-01,-1.71588E-02,+5.74490E+00,2.00000E+00
20,+1.11630E-01,-2.11516E-02,+5.74503E+00,3.00000E+00
21,+1.03669E-01,-1.52481E-02,+5.74511E+00,5.00000E+00
22,+9.90011E-02,-1.46604E-02,+5.74520E+00,8.00000E+00
23,+9.72074E-02,-1.38779E-02,+5.74520E+00,1.00000E+01
24,+9.54612E-02,-1.14189E-02,+5.74525E+00,1.10000E+01
25,+9.14142E-02,-1.49145E-02,+5.74530E+00,2.10000E+01
26,+8.99722E-02,-1.44286E-02,+5.74534E+00,3.10000E+01
27,+8.20437E-02,-1.68850E-02,+5.74536E+00,6.10000E+01
28,+8.45901E-02,-9.38117E-03,+5.74539E+00,8.10000E+01
29,+7.96198E-02,-1.77166E-02,+5.74538E+00,1.00000E+02
30,+8.00970E-02,-1.91367E-02,+5.74544E+00,1.10000E+02
31,+7.56923E-02,-1.51066E-02,+5.74544E+00,2.10000E+02
32,+7.47310E-02,-1.19155E-02,+5.74548E+00,3.10000E+02
33,+6.54743E-02,-9.26735E-03,+5.74547E+00,5.10000E+02
34,+6.50414E-02,-7.90147E-03,+5.74550E+00,8.10000E+02
35,+6.26430E-02,-7.93096E-03,+5.74551E+00,1.00000E+03
