,R,X,V,F
0,+5.11703E-02,-1.18734E-02,+6.02647E+00,1.00000E+00
1,+4.82961E-02,-9.54211E-03,+6.03501E+00,2.00000E+00
2,+4.58650E-02,-7.60966E-03,+6.03791E+00,3.00000E+00
3,+4.42332E-02,-7.73049E-03,+6.03955E+00,5.00000E+00
4,+4.10944E-02,-3.86718E-03,+6.04057E+00,8.00000E+00
5,+4.10469E-02,-7.36809E-03,+6.04125E+00,1.00000E+01
6,+4.15028E-02,-1.05692E-02,+6.04182E+00,1.10000E+01
7,+3.75413E-02,-3.58366E-03,+6.04236E+00,2.10000E+01
8,+3.61355E-02,-5.19133E-03,+6.04276E+00,3.10000E+01
9,+3.02909E-02,-5.72742E-03,+6.04306E+00,6.10000E+01
10,+3.35609E-02,-3.34161E-03,+6.04343E+00,8.10000E+01
11,+3.02309E-02,-1.05587E-02,+6.04373E+00,1.00000E+02
12,+2.94203E-02,-9.85122E-03,+6.04398E+00,1.10000E+02
13,+2.88176E-02,-7.72660E-03,+6.04425E+00,2.10000E+02
14,+2.99643E-02,-6.84815E-03,+6.04446E+00,3.10000E+02
15,+2.49469E-02,-3.06956E-03,+6.04475E+00,5.10000E+02
16,+2.48068E-02,-2.20698E-03,+6.04492E+00,8.10000E+02
17,+2.43146E-02,-1.83243E-03,+6.04518E+00,1.00000E+03
18,+5.18715E-02,-1.12735E-02,+6.07423E+00,1.00000E+00
19,+4.80127E-02,-9.51571E-03,+6.07433E+00,2.00000E+00
20,+4.68874E-02,-9.61681E-03,+6.07440E+00,3.00000E+00
21,+4.41406E-02,-7.56768E-03,+6.07446E+00,5.00000E+00
22,+4.21690E-02,-8.51097E-03,+6.07451E+00,8.00000E+00
23,+4.08731E-02,-7.29443E-03,+6.07454E+00,1.00000E+01
24,+4.09488E-02,-7.50349E-03,+6.07451E+00,1.10000E+01
25,+3.66038E-02,-8.13140E-03,+6.07457E+00,2.10000E+01
26,+3.33267E-02,-9.99834E-03,+6.07457E+00,3.10000E+01
27,+3.16820E-02,-7.18578E-03,+6.07458E+00,6.10000E+01
28,+2.93566E-02,-1.19051E-02,+6.07460E+00,8.10000E+01
29,+2.59570E-02,-2.18605E-03,+6.07461E+00,1.00000E+02
30,+2.59216E-02,-2.16910E-03,+6.07461E+00,1.10000E+02
31,+2.94406E-02,-2.28268E-03,+6.07464E+00,2.10000E+02
32,+2.54640E-02,-8.45114E-03,+6.07463E+00,3.10000E+02
33,+2.24470E-02,-3.84356E-03,+6.07468E+00,5.10000E+02
34,+2.36072E-02,-3.32653E-03,+6.07467E+00,8.10000E+02
35,+2.49125E-02,-1.88295E-03,+6.07468E+00,1.00000E+03
