,R,X,V,F
0,+1.10024E-01,-2.05278E-02,+5.80716E+00,1.00000E+00
1,+1.02817E-01,-1.83564E-02,+5.80973E+00,2.00000E+00
2,+1.00603E-01,-2.09686E-02,+5.81063E+00,3.00000E+00
3,+9.25105E-02,-1.54067E-02,+5.81117E+00,5.00000E+00
4,+8.97514E-02,-1.93337E-02,+5.81152E+00,8.00000E+00
5,+8.63580E-02,-1.75259E-02,+5.81176E+00,1.00000E+01
6,+8.52611E-02,-1.64819E-02,+5.81194E+00,1.10000E+01
7,+7.70582E-02,-1.69921E-02,+5.81216E+00,2.10000E+01
8,+7.16578E-02,-1.85269E-02,+5.81227E+00,3.10000E+01
9,+6.46328E-02,-1.49263E-02,+5.81238E+00,6.10000E+01
10,+6.54137E-02,-1.79529E-02,+5.81248E+00,8.10000E+01
11,+5.54411E-02,-1.63057E-02,+5.81260E+00,1.00000E+02
12,+5.41591E-02,-1.58017E-02,+5.81266E+00,1.10000E+02
13,+5.13500E-02,-1.21233E-02,+5.81275E+00,2.10000E+02
14,+5.27552E-02,-8.28180E-03,+5.81284E+00,3.10000E+02
15,+4.88435E-02,-8.39598E-03,+5.81293E+00,5.10000E+02
16,+4.44402E-02,-6.22198E-03,+5.81298E+00,8.10000E+02
17,+4.41407E-02,-6.42049E-03,+5.81304E+00,1.00000E+03
18,+1.09075E-01,-2.08070E-02,+5.81724E+00,1.00000E+00
19,+1.01862E-01,-1.81347E-02,+5.81740E+00,2.00000E+00
20,+9.74140E-02,-1.69942E-02,+5.81749E+00,3.00000E+00
21,+9.28468E-02,-1.71841E-02,+5.81761E+00,5.00000E+00
22,+9.18032E-02,-2.27309E-02,+5.81761E+00,8.00000E+00
23,+8.56908E-02,-1.66223E-02,+5.81765E+00,1.00000E+01
24,+8.40358E-02,-1.64100E-02,+5.81771E+00,1.10000E+01
25,+7.81423E-02,-1.62121E-02,+5.81773E+00,2.10000E+01
26,+7.47762E-02,-1.48926E-02,+5.81773E+00,3.10000E+01
27,+6.48116E-02,-1.29283E-02,+5.81778E+00,6.10000E+01
28,+6.57571E-02,-1.72291E-02,+5.81781E+00,8.10000E+01
29,+5.68912E-02,-1.54601E-02,+5.81780E+00,1.00000E+02
30,+5.37345E-02,-1.54538E-02,+5.81781E+00,1.10000E+02
31,+5.00745E-02,-9.06734E-03,+5.81784E+00,2.10000E+02
32,+5.40735E-02,-1.05822E-02,+5.81786E+00,3.10000E+02
33,+4.79824E-02,-1.06442E-02,+5.81786E+00,5.10000E+02
34,+4.67493E-02,-6.64710E-03,+5.81787E+00,8.10000E+02
35,+4.30199E-02,-5.01791E-03,+5.81789E+00,1.00000E+03
