,R,X,V,F
0,+1.27542E-01,-1.97840E-02,+5.69520E+00,1.00000E+00
1,+1.19699E-01,-1.90568E-02,+5.69803E+00,2.00000E+00
2,+1.14381E-01,-1.78175E-02,+5.69932E+00,3.00000E+00
3,+1.08765E-01,-1.64805E-02,+5.70016E+00,5.00000E+00
4,+1.04301E-01,-1.70402E-02,+5.70075E+00,8.00000E+00
5,+1.01432E-01,-1.50429E-02,+5.70119E+00,1.00000E+01
6,+1.01080E-01,-1.45992E-02,+5.70156E+00,1.10000E+01
7,+9.42597E-02,-1.38674E-02,+5.70190E+00,2.10000E+01
8,+8.99154E-02,-1.65146E-02,+5.70215E+00,3.10000E+01
9,+8.52365E-02,-1.26820E-02,+5.70242E+00,6.10000E+01
10,+8.78550E-02,-1.42573E-02,+5.70262E+00,8.10000E+01
11,+7.78325E-02,-1.57976E-02,+5.70284E+00,1.00000E+02
12,+7.72378E-02,-1.72533E-02,+5.70301E+00,1.10000E+02
13,+7.38432E-02,-1.12988E-02,+5.70322E+00,2.10000E+02
14,+6.96736E-02,-1.22267E-02,+5.70339E+00,3.10000E+02
15,+7.21572E-02,-1.05613E-02,+5.70356E+00,5.10000E+02
16,+6.83341E-02,-8.46533E-03,+5.70372E+00,8.10000E+02
17,+6.60141E-02,-8.33513E-03,+5.70392E+00,1.00000E+03
18,+1.15327E-01,-1.85516E-02,+5.75044E+00,1.00000E+00
19,+1.07814E-01,-1.65243E-02,+5.75067E+00,2.00000E+00
20,+1.01347E-01,-1.19176E-02,+5.75083E+00,3.00000E+00
21,+9.89814E-02,-1.49022E-02,+5.75092E+00,5.00000E+00
22,+9.09511E-02,-5.98041E-03,+5.75098E+00,8.00000E+00
23,+9.29823E-02,-1.33028E-02,+5.75107E+00,1.00000E+01
24,+9.42234E-02,-1.86094E-02,+5.75109E+00,1.10000E+01
25,+8.56938E-02,-1.26411E-02,+5.75114E+00,2.10000E+01
26,+8.26763E-02,-7.81829E-03,+5.75122E+00,3.10000E+01
27,+7.81005E-02,-1.09957E-02,+5.75121E+00,6.10000E+01
28,+7.60773E-02,-6.19075E-03,+5.75125E+00,8.10000E+01
29,+8.17556E-02,-1.34241E-02,+5.75126E+00,1.00000E+02
30,+8.17290E-02,-1.22089E-02,+5.75133E+00,1.10000E+02
31,+7.22751E-02,-6.43807E-03,+5.75133E+00,2.10000E+02
32,+6.60689E-02,-5.64070E-03,+5.75137E+00,3.10000E+02
33,+6.69682E-02,-7.42128E-03,+5.75136E+00,5.10000E+02
34,+6.31525E-02,-8.71732E-03,+5.75141E+00,8.10000E+02
35,+6.20950E-02,-8.69615E-03,+5.75144E+00,1.00000E+03
