,R,X,V,F
0,+1.06740E-01,-2.06435E-02,+5.82497E+00,1.00000E+00
1,+9.96017E-02,-1.79407E-02,+5.82502E+00,2.00000E+00
2,+9.49129E-02,-1.56230E-02,+5.82504E+00,3.00000E+00
3,+9.08180E-02,-1.65592E-02,+5.82509E+00,5.00000E+00
4,+8.55366E-02,-1.56608E-02,+5.82512E+00,8.00000E+00
5,+8.24441E-02,-1.38078E-02,+5.82511E+00,1.00000E+01
6,+8.24246E-02,-1.51595E-02,+5.82514E+00,1.10000E+01
7,+7.57414E-02,-1.78813E-02,+5.82510E+00,2.10000E+01
8,+6.88903E-02,-2.60254E-02,+5.82516E+00,3.10000E+01
9,+6.36703E-02,-1.76983E-02,+5.82519E+00,6.10000E+01
10,+6.51038E-02,-1.47293E-02,+5.82519E+00,8.10000E+01
11,+5.71548E-02,-1.98358E-02,+5.82518E+00,1.00000E+02
12,+5.51479E-02,-1.88616E-02,+5.82519E+00,1.10000E+02
13,+5.37123E-02,-1.25381E-02,+5.82522E+00,2.10000E+02
14,+4.80523E-02,-7.12799E-03,+5.82520E+00,3.10000E+02
15,+4.57978E-02,-7.22812E-03,+5.82521E+00,5.10000E+02
16,+4.26644E-02,-7.66619E-03,+5.82522E+00,8.10000E+02
17,+4.36571E-02,-5.62411E-03,+5.82519E+00,1.00000E+03
