,R,X,V,F
0,+4.72821E-02,-1.20501E-02,+6.10301E+00,1.00000E+00
1,+4.45511E-02,-9.81005E-03,+6.11380E+00,2.00000E+00
2,+4.36652E-02,-1.03970E-02,+6.11744E+00,3.00000E+00
3,+3.99485E-02,-8.37738E-03,+6.11954E+00,5.00000E+00
4,+3.74936E-02,-7.40822E-03,+6.12082E+00,8.00000E+00
5,+3.67109E-02,-8.45016E-03,+6.12170E+00,1.00000E+01
6,+3.59204E-02,-6.10823E-03,+6.12247E+00,1.10000E+01
7,+3.26745E-02,-8.70136E-03,+6.12311E+00,2.10000E+01
8,+2.80530E-02,-1.71505E-02,+6.12360E+00,3.10000E+01
9,+2.62751E-02,-1.10275E-02,+6.12405E+00,6.10000E+01
10,+3.02719E-02,-6.18597E-03,+6.12445E+00,8.10000E+01
11,+2.23361E-02,-1.13602E-02,+6.12478E+00,1.00000E+02
12,+2.12700E-02,-1.10757E-02,+6.12510E+00,1.10000E+02
13,+2.09926E-02,-5.32011E-03,+6.12542E+00,2.10000E+02
14,+1.81831E-02,-2.48319E-03,+6.12571E+00,3.10000E+02
15,+1.87260E-02,-3.83062E-03,+6.12603E+00,5.10000E+02
16,+2.02960E-02,-1.29294E-03,+6.12632E+00,8.10000E+02
17,+1.99201E-02,-1.50985E-03,+6.12657E+00,1.00000E+03
18,+4.96078E-02,-1.16613E-02,+6.15767E+00,1.00000E+00
19,+4.55657E-02,-9.95907E-03,+6.15778E+00,2.00000E+00
20,+4.31624E-02,-8.34469E-03,+6.15784E+00,3.00000E+00
21,+4.09208E-02,-8.60407E-03,+6.15786E+00,5.00000E+00
22,+3.82995E-02,-6.36289E-03,+6.15793E+00,8.00000E+00
23,+3.68560E-02,-7.05323E-03,+6.15797E+00,1.00000E+01
24,+3.72374E-02,-1.04264E-02,+6.15797E+00,1.10000E+01
25,+3.34659E-02,-7.11214E-03,+6.15800E+00,2.10000E+01
26,+3.10749E-02,-9.63447E-03,+6.15800E+00,3.10000E+01
27,+2.44319E-02,-1.13840E-02,+6.15800E+00,6.10000E+01
28,+3.07889E-02,-1.90541E-03,+6.15806E+00,8.10000E+01
29,+2.69374E-02,-1.26807E-02,+6.15807E+00,1.00000E+02
30,+2.61391E-02,-1.21308E-02,+6.15810E+00,1.10000E+02
31,+2.36122E-02,-7.34321E-03,+6.15807E+00,2.10000E+02
32,+2.43409E-02,-7.60460E-03,+6.15811E+00,3.10000E+02
33,+2.04305E-02,-2.59900E-03,+6.15809E+00,5.10000E+02
34,+1.86518E-02,-1.61835E-03,+6.15811E+00,8.10000E+02
35,+1.93390E-02,-1.24373E-03,+6.15813E+00,1.00000E+03
