,R,X,V,F
0,+6.03359E-02,-1.22069E-02,+5.94547E+00,1.00000E+00
1,+5.72448E-02,-9.76215E-03,+5.95283E+00,2.00000E+00
2,+5.40322E-02,-7.61429E-03,+5.95531E+00,3.00000E+00
3,+5.25107E-02,-8.46326E-03,+5.95668E+00,5.00000E+00
4,+4.92906E-02,-5.80406E-03,+5.95760E+00,8.00000E+00
5,+4.84693E-02,-8.00989E-03,+5.95818E+00,1.00000E+01
6,+4.92718E-02,-1.00940E-02,+5.95872E+00,1.10000E+01
7,+4.52974E-02,-5.89550E-03,+5.95917E+00,2.10000E+01
8,+4.35316E-02,-7.30092E-03,+5.95949E+00,3.10000E+01
9,+3.73918E-02,-1.00807E-02,+5.95981E+00,6.10000E+01
10,+4.24690E-02,-8.60896E-04,+5.96008E+00,8.10000E+01
11,+3.95399E-02,-1.35594E-02,+5.96031E+00,1.00000E+02
12,+3.82650E-02,-1.16574E-02,+5.96056E+00,1.10000E+02
13,+3.59173E-02,-7.19698E-03,+5.96080E+00,2.10000E+02
14,+3.65699E-02,-7.24141E-03,+5.96100E+00,3.10000E+02
15,+3.14041E-02,-3.39836E-03,+5.96122E+00,5.10000E+02
16,+3.01600E-02,-3.67319E-03,+5.96145E+00,8.10000E+02
17,+3.00195E-02,-2.25512E-03,+5.96165E+00,1.00000E+03
18,+5.93641E-02,-1.15518E-02,+5.99072E+00,1.00000E+00
19,+5.58963E-02,-9.31944E-03,+5.99082E+00,2.00000E+00
20,+5.14958E-02,-5.09693E-03,+5.99093E+00,3.00000E+00
21,+5.16220E-02,-8.28933E-03,+5.99094E+00,5.00000E+00
22,+4.62943E-02,-1.59731E-03,+5.99097E+00,8.00000E+00
23,+4.81307E-02,-8.08951E-03,+5.99105E+00,1.00000E+01
24,+5.09881E-02,-1.46777E-02,+5.99104E+00,1.10000E+01
25,+4.30824E-02,-7.90933E-03,+5.99108E+00,2.10000E+01
26,+4.01811E-02,-6.02697E-03,+5.99112E+00,3.10000E+01
27,+3.85034E-02,-6.65111E-03,+5.99113E+00,6.10000E+01
28,+3.41168E-02,-4.37870E-03,+5.99109E+00,8.10000E+01
29,+4.23566E-02,-3.93147E-03,+5.99113E+00,1.00000E+02
30,+4.10970E-02,-9.71570E-04,+5.99116E+00,1.10000E+02
31,+2.94299E-02,-4.15228E-03,+5.99119E+00,2.10000E+02
32,+3.27773E-02,-8.80949E-03,+5.99120E+00,3.10000E+02
33,+3.07349E-02,-6.92026E-03,+5.99118E+00,5.10000E+02
34,+2.86569E-02,-1.26589E-03,+5.99121E+00,8.10000E+02
35,+3.01279E-02,-1.65443E-03,+5.99122E+00,1.00000E+03
