,R,X,V,F
0,+1.33975E-01,-1.98648E-02,+5.70060E+00,1.00000E+00
1,+1.25606E-01,-1.93475E-02,+5.70321E+00,2.00000E+00
2,+1.20592E-01,-1.85656E-02,+5.70440E+00,3.00000E+00
3,+1.14446E-01,-1.76799E-02,+5.70514E+00,5.00000E+00
4,+1.10353E-01,-1.81389E-02,+5.70567E+00,8.00000E+00
5,+1.06915E-01,-1.61152E-02,+5.70602E+00,1.00000E+01
6,+1.05409E-01,-1.59227E-02,+5.70633E+00,1.10000E+01
7,+1.01465E-01,-1.50686E-02,+5.70665E+00,2.10000E+01
8,+9.71020E-02,-1.46391E-02,+5.70685E+00,3.10000E+01
9,+9.20694E-02,-1.08587E-02,+5.70703E+00,6.10000E+01
10,+8.90954E-02,-1.78637E-02,+5.70722E+00,8.10000E+01
11,+8.04613E-02,-8.22757E-03,+5.70738E+00,1.00000E+02
12,+8.36238E-02,-1.17962E-02,+5.70756E+00,1.10000E+02
13,+8.52703E-02,-7.37979E-03,+5.70771E+00,2.10000E+02
14,+7.77030E-02,-1.42774E-02,+5.70784E+00,3.10000E+02
15,+7.20292E-02,-9.90563E-03,+5.70803E+00,5.10000E+02
16,+7.02944E-02,-9.99044E-03,+5.70815E+00,8.10000E+02
17,+6.89017E-02,-9.35060E-03,+5.70831E+00,1.00000E+03
18,+1.24263E-01,-2.00239E-02,+5.74206E+00,1.00000E+00
19,+1.16134E-01,-1.79871E-02,+5.74223E+00,2.00000E+00
20,+1.12103E-01,-1.69123E-02,+5.74236E+00,3.00000E+00
21,+1.06719E-01,-1.59678E-02,+5.74244E+00,5.00000E+00
22,+1.03157E-01,-1.71935E-02,+5.74248E+00,8.00000E+00
23,+9.99198E-02,-1.45483E-02,+5.74253E+00,1.00000E+01
24,+9.89234E-02,-1.46495E-02,+5.74256E+00,1.10000E+01
25,+9.56394E-02,-1.40048E-02,+5.74258E+00,2.10000E+01
26,+9.06829E-02,-1.32964E-02,+5.74264E+00,3.10000E+01
27,+8.78375E-02,-9.45785E-03,+5.74267E+00,6.10000E+01
28,+7.76768E-02,-1.67395E-02,+5.74270E+00,8.10000E+01
29,+7.90034E-02,-5.83590E-03,+5.74268E+00,1.00000E+02
30,+8.08203E-02,-7.13056E-03,+5.74268E+00,1.10000E+02
31,+8.12280E-02,-1.32911E-02,+5.74272E+00,2.10000E+02
32,+6.96491E-02,-9.40401E-03,+5.74276E+00,3.10000E+02
33,+7.15142E-02,-1.06015E-02,+5.74275E+00,5.10000E+02
34,+6.58959E-02,-9.07865E-03,+5.74281E+00,8.10000E+02
35,+6.48756E-02,-7.52375E-03,+5.74280E+00,1.00000E+03
